Competition,Matchday,Date,Time,Home Team,Ranking Home Team,Away Team,Ranking Away Team,Attendance,Result,Weather,Temperature (°C)
UEFA Conference League Qualifiers,Qualifying Round 2nd leg,Thu 26/08/21,7:00 PM,Vitesse,,RSC Anderlecht,,10.618,2:1,None,None
Jupiler Pro League,6,Sun 29/08/21,6:30 PM,Genk,(9.),RSC Anderlecht,(7.),17.000,1:0,Drizzle,15.4
Jupiler Pro League,7,Sun 12/09/21,1:30 PM,RSC Anderlecht,(12.),KV Mechelen,(14.),19.500,7:2,Drizzle,19.6
Jupiler Pro League,8,Sun 19/09/21,6:30 PM,Standard Liège,(3.),RSC Anderlecht,(5.),24.000,0:1,Partly cloudy,19.3
Jupiler Pro League,5,Thu 23/09/21,8:45 PM,RSC Anderlecht,(6.),KAA Gent,(12.),19.000,1:1,Partly cloudy,18.2
Jupiler Pro League,9,Sun 26/09/21,6:30 PM,KV Oostende,(10.),RSC Anderlecht,(3.),5.008,2:2,None,None
Jupiler Pro League,10,Sun 03/10/21,1:30 PM,RSC Anderlecht,(6.),Club Brugge,(1.),19.500,1:1,Rainy,13.9
Jupiler Pro League,11,Sun 17/10/21,1:30 PM,Sint-Truiden,(9.),RSC Anderlecht,(7.),6.500,2:2,Partly cloudy,12.9
Jupiler Pro League,12,Sun 24/10/21,4:00 PM,RSC Anderlecht,(8.),Beerschot VA,(18.),20.000,4:2,Clear or mostly clear,13.6
Croky Cup,Sixth Round,Wed 27/10/21,8:45 PM,La Louvière,,RSC Anderlecht,,,1:7,Partly cloudy,11.2
Jupiler Pro League,13,Sun 31/10/21,6:30 PM,RSC Anderlecht,(6.),OH Leuven,(15.),19.000,2:2,Rainy,14.7
Jupiler Pro League,14,Sun 07/11/21,6:30 PM,Royal Antwerp,(3.),RSC Anderlecht,(6.),15.000,2:0,Partly cloudy,9.7
Jupiler Pro League,15,Sun 21/11/21,1:30 PM,RSC Anderlecht,(8.),KV Kortrijk,(9.),18.000,1:1,Partly cloudy,9.1
Jupiler Pro League,16,Sat 27/11/21,8:45 PM,R Charleroi SC,(5.),RSC Anderlecht,(6.),9.200,1:3,Snowy,1.0
Croky Cup,Round of 16,Tue 30/11/21,8:45 PM,RFC Seraing,,RSC Anderlecht,,,6:7on pens,None,None
Jupiler Pro League,17,Sun 05/12/21,4:00 PM,RSC Anderlecht,(6.),Zulte Waregem,(16.),18.000,3:2,Partly cloudy,4.3
Jupiler Pro League,18,Sat 11/12/21,8:45 PM,RFC Seraing,(15.),RSC Anderlecht,(5.),2.000,0:5,None,None
Jupiler Pro League,19,Tue 14/12/21,9:00 PM,RSC Anderlecht,(5.),Sint-Truiden,(12.),13.500,2:0,Partly cloudy,8.0
Jupiler Pro League,20,Sun 19/12/21,1:30 PM,Club Brugge,(2.),RSC Anderlecht,(4.),28.000,2:2,Partly cloudy,8.3
Croky Cup,Quarter-Finals,Thu 23/12/21,6:45 PM,RSC Anderlecht,,KV Kortrijk,,18.277,3:0,Partly cloudy,3.8
Jupiler Pro League,21,Mon 27/12/21,9:00 PM,Beerschot VA,(18.),RSC Anderlecht,(5.),x,0:7,None,None
Jupiler Pro League,22,Sun 16/01/22,6:30 PM,RSC Anderlecht,(4.),Standard Liège,(10.),,1:1,Partly cloudy,4.2
Jupiler Pro League,23,Sun 23/01/22,6:30 PM,KV Mechelen,(7.),RSC Anderlecht,(4.),x,0:1,Partly cloudy,5.2
Jupiler Pro League,24,Wed 26/01/22,9:00 PM,RSC Anderlecht,(4.),Cercle Brugge,(10.),x,0:2,Partly cloudy,2.7
Jupiler Pro League,25,Sun 30/01/22,1:30 PM,Union SG,(1.),RSC Anderlecht,(4.),6.491,1:0,Partly cloudy,6.2
Croky Cup,Semi-Finals 1st Leg,Thu 03/02/22,8:45 PM,KAS Eupen,,RSC Anderlecht,,1.841,2:2,None,None
Jupiler Pro League,26,Sun 06/02/22,6:30 PM,RSC Anderlecht,(4.),KAS Eupen,(15.),13.000,4:1,Drizzle,8.4
Jupiler Pro League,27,Sat 12/02/22,8:45 PM,Zulte Waregem,(16.),RSC Anderlecht,(4.),6.500,1:2,Clear or mostly clear,3.8
Jupiler Pro League,28,Sun 20/02/22,6:30 PM,RSC Anderlecht,(4.),Genk,(8.),18.000,2:0,Drizzle,10.0
Jupiler Pro League,29,Sat 26/02/22,8:45 PM,OH Leuven,(9.),RSC Anderlecht,(4.),7.801,0:0,Partly cloudy,3.1
Croky Cup,Semi-Finals 2nd Leg,Thu 03/03/22,8:45 PM,RSC Anderlecht,,KAS Eupen,,20.000,3:1,Clear or mostly clear,5.9
Jupiler Pro League,30,Sun 06/03/22,4:00 PM,RSC Anderlecht,(4.),KV Oostende,(13.),19.000,3:0,Partly cloudy,6.3
Jupiler Pro League,31,Sun 13/03/22,1:30 PM,RSC Anderlecht,(4.),Royal Antwerp,(3.),21.000,2:1,Partly cloudy,13.8
Jupiler Pro League,32,Sun 20/03/22,6:30 PM,KAA Gent,(5.),RSC Anderlecht,(3.),19.999,1:0,Partly cloudy,7.6
Jupiler Pro League,33,Sun 03/04/22,6:30 PM,RSC Anderlecht,(5.),R Charleroi SC,(6.),20.000,4:0,Clear or mostly clear,6.6
Jupiler Pro League,34,Sun 10/04/22,6:30 PM,KV Kortrijk,(12.),RSC Anderlecht,(4.),9.000,2:3,None,None
Croky Cup,Final,Mon 18/04/22,3:00 PM,KAA Gent,,RSC Anderlecht,,42.500,4:3on pens,Partly cloudy,19.2
Jupiler Pro League Champions' Play-Offs,1,Sun 24/04/22,6:30 PM,Union SG,(2.),RSC Anderlecht,(3.),8.700,3:1,Partly cloudy,17.7
Jupiler Pro League Champions' Play-Offs,2,Sun 01/05/22,6:30 PM,RSC Anderlecht,(4.),Club Brugge,(2.),20.000,0:0,Partly cloudy,14.5
Jupiler Pro League Champions' Play-Offs,3,Sun 08/05/22,6:30 PM,Royal Antwerp,(3.),RSC Anderlecht,(4.),13.876,0:4,Clear or mostly clear,19.2
Jupiler Pro League Champions' Play-Offs,4,Thu 12/05/22,8:30 PM,RSC Anderlecht,(3.),Royal Antwerp,(4.),19.000,2:1,Clear or mostly clear,17.3
Jupiler Pro League Champions' Play-Offs,5,Sun 15/05/22,6:30 PM,RSC Anderlecht,(3.),Union SG,(2.),21.000,0:2,Partly cloudy,26.2
Jupiler Pro League Champions' Play-Offs,6,Sun 22/05/22,6:30 PM,Club Brugge,(1.),RSC Anderlecht,(3.),28.000,1:1,Partly cloudy,21.6
Jupiler Pro League,1,Sun 24/07/22,6:30 PM,RSC Anderlecht,(11.),KV Oostende,(16.),19.000,2:0,Partly cloudy,28.9
Jupiler Pro League,2,Sat 30/07/22,4:00 PM,Cercle Brugge,(14.),RSC Anderlecht,(2.),4.000,1:0,Partly cloudy,24.0
UEFA Conference League Qualifiers,3rd round 1st leg,Thu 04/08/22,7:00 PM,Paide,,RSC Anderlecht,,7.506,0:2,None,None
Jupiler Pro League,3,Sun 07/08/22,6:30 PM,RSC Anderlecht,(4.),RFC Seraing,(18.),19.000,3:1,Clear or mostly clear,24.3
UEFA Conference League Qualifiers,3rd round 2nd leg,Thu 11/08/22,8:00 PM,RSC Anderlecht,,Paide,,11.235,3:0,Clear or mostly clear,29.0
Jupiler Pro League,4,Sun 14/08/22,1:30 PM,Sint-Truiden,(17.),RSC Anderlecht,(2.),11.500,0:3,Partly cloudy,31.3
UEFA Conference League Qualifiers,Qualifying Round 1st leg,Thu 18/08/22,7:00 PM,Young Boys,,RSC Anderlecht,,18.363,0:1,None,None
UEFA Conference League Qualifiers,Qualifying Round 2nd leg,Thu 25/08/22,8:00 PM,RSC Anderlecht,,Young Boys,,14.393,3:2on pens,Partly cloudy,25.0
Jupiler Pro League,6,Sun 28/08/22,6:30 PM,Union SG,(9.),RSC Anderlecht,(5.),7.646,2:1,Partly cloudy,22.3
Jupiler Pro League,5,Thu 01/09/22,8:30 PM,RSC Anderlecht,(2.),KAA Gent,(4.),17.500,0:1,Partly cloudy,22.5
Jupiler Pro League,7,Sun 04/09/22,1:30 PM,RSC Anderlecht,(7.),OH Leuven,(4.),19.500,2:2,Partly cloudy,25.9
UEFA Conference League,Group B,Thu 08/09/22,6:45 PM,RSC Anderlecht,,Silkeborg IF,,11.557,1:0,Partly cloudy,19.5
Jupiler Pro League,8,Sun 11/09/22,1:30 PM,KVC Westerlo,(14.),RSC Anderlecht,(8.),8.000,2:1,Partly cloudy,20.3
UEFA Conference League,Group B,Thu 15/09/22,9:00 PM,FCSB,,RSC Anderlecht,,29.613,0:0,None,None
Jupiler Pro League,9,Sun 18/09/22,9:00 PM,RSC Anderlecht,(9.),KV Kortrijk,(14.),18.000,4:1,Drizzle,11.7
Jupiler Pro League,10,Sun 02/10/22,1:30 PM,RSC Anderlecht,(8.),R Charleroi SC,(10.),18.500,0:1,Drizzle,13.9
UEFA Conference League,Group B,Thu 06/10/22,6:45 PM,RSC Anderlecht,,West Ham,,17.033,0:1,Clear or mostly clear,15.6
Jupiler Pro League,11,Sun 09/10/22,1:30 PM,KV Mechelen,(12.),RSC Anderlecht,(10.),16.125,1:3,Clear or mostly clear,14.8
UEFA Conference League,Group B,Thu 13/10/22,9:00 PM,West Ham,,RSC Anderlecht,,30.230,2:1,None,None
Jupiler Pro League,12,Sun 16/10/22,6:30 PM,RSC Anderlecht,(9.),Club Brugge,(3.),21.000,0:1,Partly cloudy,16.7
Jupiler Pro League,13,Thu 20/10/22,8:45 PM,Zulte Waregem,(18.),RSC Anderlecht,(9.),8.235,3:2,Drizzle,16.1
Jupiler Pro League,14,Sun 23/10/22,6:30 PM,Standard Liège,(5.),RSC Anderlecht,(9.),27.670,5:0,Drizzle,18.2
UEFA Conference League,Group B,Thu 27/10/22,6:45 PM,RSC Anderlecht,,FCSB,,14.226,2:2,Partly cloudy,19.1
Jupiler Pro League,15,Sun 30/10/22,1:30 PM,RSC Anderlecht,(12.),KAS Eupen,(15.),14.102,4:2,Partly cloudy,19.4
UEFA Conference League,Group B,Thu 03/11/22,9:00 PM,Silkeborg IF,,RSC Anderlecht,,6.810,0:2,None,None
Jupiler Pro League,16,Sun 06/11/22,6:30 PM,Royal Antwerp,(2.),RSC Anderlecht,(10.),15.917,0:0,Rainy,9.2
Croky Cup,Sixth Round,Thu 10/11/22,8:45 PM,KSK Lierse Kem.,,RSC Anderlecht,,,10:11on pens,None,None
Jupiler Pro League,17,Sun 13/11/22,6:30 PM,RSC Anderlecht,(11.),Genk,(1.),21.500,0:2,Clear or mostly clear,9.2
Croky Cup,Round of 16,Wed 21/12/22,8:45 PM,Genk,,RSC Anderlecht,,18.000,1:0AET,Rainy,8.7
Jupiler Pro League,18,Mon 26/12/22,8:45 PM,R Charleroi SC,(13.),RSC Anderlecht,(12.),10.262,0:1,Clear or mostly clear,3.0
Jupiler Pro League,19,Sun 08/01/23,6:30 PM,RSC Anderlecht,(11.),Union SG,(2.),21.500,1:3,Partly cloudy,8.3
Jupiler Pro League,20,Sun 15/01/23,1:30 PM,Club Brugge,(4.),RSC Anderlecht,(11.),29.062,1:1,Clear or mostly clear,6.2
Jupiler Pro League,21,Wed 18/01/23,8:45 PM,RSC Anderlecht,(13.),Zulte Waregem,(17.),,2:3,Partly cloudy,0.7
Jupiler Pro League,22,Sun 22/01/23,4:00 PM,RFC Seraing,(18.),RSC Anderlecht,(13.),3.500,0:1,None,None
Jupiler Pro League,23,Sun 29/01/23,1:30 PM,RSC Anderlecht,(12.),Royal Antwerp,(3.),21.500,0:0,Partly cloudy,2.4
Jupiler Pro League,24,Fri 03/02/23,8:45 PM,KV Oostende,(17.),RSC Anderlecht,(11.),4.597,0:2,None,None
Jupiler Pro League,25,Sun 12/02/23,4:00 PM,RSC Anderlecht,(10.),Sint-Truiden,(8.),17.000,3:1,Partly cloudy,8.0
UEFA Conference League,intermediate stage 1st leg,Thu 16/02/23,9:00 PM,Ludogorets,,RSC Anderlecht,,4.417,1:0,None,None
Jupiler Pro League,26,Sun 19/02/23,6:30 PM,KV Kortrijk,(14.),RSC Anderlecht,(10.),8.798,2:2,None,None
UEFA Conference League,intermediate stage 2nd leg,Thu 23/02/23,6:45 PM,RSC Anderlecht,,Ludogorets,,21.500,5:1on pens,Partly cloudy,7.9
Jupiler Pro League,27,Sun 26/02/23,6:30 PM,RSC Anderlecht,(9.),Standard Liège,(6.),21.500,2:2,Clear or mostly clear,3.9
Jupiler Pro League,28,Sun 05/03/23,6:30 PM,KAA Gent,(5.),RSC Anderlecht,(9.),17.470,1:0,Partly cloudy,4.4
UEFA Conference League,last 16 1st leg,Thu 09/03/23,6:45 PM,RSC Anderlecht,,Villarreal,,15.265,1:1,Partly cloudy,11.9
Jupiler Pro League,29,Sun 12/03/23,7:15 PM,RSC Anderlecht,(10.),Cercle Brugge,(8.),18.243,2:0,Partly cloudy,11.2
UEFA Conference League,last 16 2nd leg,Thu 16/03/23,9:00 PM,Villarreal,,RSC Anderlecht,,15.000,0:1,None,None
Jupiler Pro League,30,Sun 19/03/23,4:00 PM,OH Leuven,(10.),RSC Anderlecht,(9.),9.075,0:2,Partly cloudy,12.8
Jupiler Pro League,31,Sun 02/04/23,4:00 PM,KAS Eupen,(15.),RSC Anderlecht,(8.),6.800,0:1,None,None
Jupiler Pro League,32,Sun 09/04/23,1:30 PM,RSC Anderlecht,(8.),KVC Westerlo,(7.),18.000,0:0,Partly cloudy,14.5
UEFA Conference League,Quarter-Finals 1st leg,Thu 13/04/23,9:00 PM,RSC Anderlecht,,AZ Alkmaar,,18.157,2:0,Partly cloudy,7.3
Jupiler Pro League,33,Sun 16/04/23,1:30 PM,Genk,(1.),RSC Anderlecht,(9.),19.845,5:2,Drizzle,10.6
UEFA Conference League,Quarter-Finals 2nd leg,Thu 20/04/23,6:45 PM,AZ Alkmaar,,RSC Anderlecht,,19.500,6:1on pens,None,None
Jupiler Pro League,34,Sun 23/04/23,6:30 PM,RSC Anderlecht,(10.),KV Mechelen,(13.),21.900,2:3,Partly cloudy,12.7
Jupiler Pro League,1,Fri 28/07/23,8:45 PM,Union SG,(1.),RSC Anderlecht,(2.),7.000,2:0,Clear or mostly clear,22.3
Jupiler Pro League,2,Sun 06/08/23,1:30 PM,RSC Anderlecht,(15.),Royal Antwerp,(3.),19.500,1:0,Drizzle,15.9
Jupiler Pro League,3,Sun 13/08/23,1:30 PM,Sint-Truiden,(3.),RSC Anderlecht,(9.),8.000,0:1,Partly cloudy,22.6
Jupiler Pro League,4,Sun 20/08/23,1:30 PM,RSC Anderlecht,(7.),KVC Westerlo,(14.),19.845,2:1,Clear or mostly clear,24.6
Jupiler Pro League,5,Sun 27/08/23,6:30 PM,RSC Anderlecht,(4.),R Charleroi SC,(12.),20.000,2:1,Drizzle,18.8
Jupiler Pro League,6,Sun 03/09/23,6:30 PM,Genk,(8.),RSC Anderlecht,(2.),20.655,1:1,Partly cloudy,22.7
Jupiler Pro League,7,Sun 17/09/23,4:00 PM,KV Kortrijk,(16.),RSC Anderlecht,(3.),9.036,2:2,None,None
Jupiler Pro League,8,Sun 24/09/23,6:30 PM,RSC Anderlecht,(3.),Club Brugge,(2.),21.000,1:1,Clear or mostly clear,18.4
Jupiler Pro League,9,Sat 30/09/23,4:00 PM,KAS Eupen,(11.),RSC Anderlecht,(4.),4.874,1:3,None,None
Jupiler Pro League,10,Sat 07/10/23,8:45 PM,RSC Anderlecht,(3.),KV Mechelen,(10.),21.500,3:1,Clear or mostly clear,18.7
Jupiler Pro League,11,Sun 22/10/23,6:30 PM,Standard Liège,(8.),RSC Anderlecht,(2.),26.864,3:2,Partly cloudy,13.0
