Competition,Matchday,Date,Time,Home Team,Ranking Home Team,Away Team,Ranking Away Team,Attendance,Result,Weather,Temperature (°C)
Jupiler Pro League,2,Sun 01/08/21,4:00 PM,Zulte Waregem,(10.),Standard Liège,(9.),4.124,1:2,Rainy,17.6
Jupiler Pro League,3,Sun 08/08/21,1:30 PM,Standard Liège,(4.),Royal Antwerp,(18.),8.038,2:5,Drizzle,18.2
Jupiler Pro League,4,Sun 15/08/21,1:30 PM,Beerschot VA,(18.),Standard Liège,(12.),4.000,0:1,None,None
Jupiler Pro League,5,Fri 20/08/21,8:45 PM,Standard Liège,(7.),KV Oostende,(2.),16.261,1:0,Clear or mostly clear,19.4
Jupiler Pro League,6,Sat 28/08/21,8:45 PM,Union SG,(4.),Standard Liège,(3.),6.255,4:0,Partly cloudy,17.3
Jupiler Pro League,7,Sun 12/09/21,6:30 PM,RFC Seraing,(9.),Standard Liège,(6.),7.000,0:1,None,None
Jupiler Pro League,8,Sun 19/09/21,6:30 PM,Standard Liège,(3.),RSC Anderlecht,(5.),24.000,0:1,Partly cloudy,19.3
Jupiler Pro League,9,Sat 25/09/21,8:45 PM,Standard Liège,(8.),Sint-Truiden,(11.),20.456,1:2,Partly cloudy,16.8
Jupiler Pro League,10,Fri 01/10/21,8:45 PM,KV Mechelen,(9.),Standard Liège,(11.),15.067,3:1,Drizzle,13.7
Jupiler Pro League,11,Sat 16/10/21,8:45 PM,Standard Liège,(12.),OH Leuven,(16.),18.645,2:2,Partly cloudy,10.0
Jupiler Pro League,12,Sat 23/10/21,4:15 PM,Cercle Brugge,(17.),Standard Liège,(13.),3.552,1:1,Drizzle,13.7
Croky Cup,Sixth Round,Tue 26/10/21,8:45 PM,Mouscron,,Standard Liège,,1.300,0:1,None,None
Jupiler Pro League,13,Sat 30/10/21,6:30 PM,Standard Liège,(13.),KV Kortrijk,(8.),16.852,1:1,Drizzle,13.2
Jupiler Pro League,14,Sun 07/11/21,1:30 PM,Club Brugge,(2.),Standard Liège,(12.),26.305,2:2,Partly cloudy,11.5
Jupiler Pro League,15,Sat 20/11/21,8:45 PM,Standard Liège,(13.),KAS Eupen,(7.),16.341,1:0,Partly cloudy,9.3
Jupiler Pro League,16,Sun 28/11/21,6:30 PM,KAA Gent,(7.),Standard Liège,(12.),18.120,3:1,Drizzle,2.9
Croky Cup,Round of 16,Thu 02/12/21,8:45 PM,Standard Liège,,Beerschot VA,,,2:0AET,Clear or mostly clear,0.6
Jupiler Pro League,17,Sun 05/12/21,6:30 PM,Standard Liège,(12.),R Charleroi SC,(5.),22.512,0:3,Partly cloudy,4.1
Jupiler Pro League,18,Sun 12/12/21,1:30 PM,Royal Antwerp,(2.),Standard Liège,(13.),10.980,2:3,Drizzle,9.7
Jupiler Pro League,20,Sun 19/12/21,9:00 PM,OH Leuven,(15.),Standard Liège,(9.),4.280,2:1,Partly cloudy,5.9
Croky Cup,Quarter-Finals,Wed 22/12/21,8:30 PM,KAA Gent,,Standard Liège,,9.276,3:1,Partly cloudy,-0.2
Jupiler Pro League,21,Sun 26/12/21,4:00 PM,Standard Liège,(10.),Zulte Waregem,(16.),x,0:1,Partly cloudy,7.4
Jupiler Pro League,22,Sun 16/01/22,6:30 PM,RSC Anderlecht,(4.),Standard Liège,(10.),,1:1,Partly cloudy,4.2
Jupiler Pro League,23,Sun 23/01/22,1:30 PM,Standard Liège,(12.),Club Brugge,(3.),x,2:2,Partly cloudy,5.0
Jupiler Pro League,24,Wed 26/01/22,6:45 PM,KAS Eupen,(14.),Standard Liège,(12.),x,0:2,None,None
Jupiler Pro League,25,Sun 30/01/22,6:30 PM,Standard Liège,(11.),KV Mechelen,(10.),10.286,1:2,Partly cloudy,5.2
Jupiler Pro League,26,Sat 05/02/22,6:30 PM,Standard Liège,(12.),Cercle Brugge,(9.),x,1:1,Partly cloudy,6.6
Jupiler Pro League,27,Sun 13/02/22,1:30 PM,Genk,(8.),Standard Liège,(12.),13.581,2:0,Partly cloudy,7.6
Jupiler Pro League,28,Sat 19/02/22,6:30 PM,KV Oostende,(14.),Standard Liège,(13.),3.267,1:0,None,None
Jupiler Pro League,29,Sun 27/02/22,6:30 PM,Standard Liège,(13.),KAA Gent,(5.),x,0:1,Clear or mostly clear,8.7
Jupiler Pro League,19,Wed 02/03/22,6:45 PM,Standard Liège,(10.),Beerschot VA,(18.),9.423,1:0,Partly cloudy,10.1
Jupiler Pro League,30,Sun 06/03/22,6:30 PM,R Charleroi SC,(7.),Standard Liège,(14.),11.503,0:0,Partly cloudy,4.7
Jupiler Pro League,31,Sun 13/03/22,9:00 PM,Standard Liège,(13.),RFC Seraing,(17.),16.311,0:1,Partly cloudy,10.2
Jupiler Pro League,32,Sun 20/03/22,4:00 PM,KV Kortrijk,(12.),Standard Liège,(13.),6.576,0:1,None,None
Jupiler Pro League,33,Sun 03/04/22,1:30 PM,Standard Liège,(13.),Union SG,(1.),20.000,1:3,Partly cloudy,5.2
Jupiler Pro League,34,Sun 10/04/22,6:30 PM,Sint-Truiden,(9.),Standard Liège,(13.),10.076,3:0,Partly cloudy,10.5
Jupiler Pro League,1,Fri 22/07/22,8:45 PM,Standard Liège,(6.),KAA Gent,(5.),18.918,2:2,Partly cloudy,21.1
Jupiler Pro League,2,Sun 31/07/22,1:30 PM,Genk,(12.),Standard Liège,(11.),15.134,3:1,Partly cloudy,23.1
Jupiler Pro League,3,Sun 07/08/22,1:30 PM,Standard Liège,(16.),Cercle Brugge,(10.),18.286,2:0,Clear or mostly clear,22.1
Jupiler Pro League,4,Sat 13/08/22,4:00 PM,KVC Westerlo,(14.),Standard Liège,(9.),6.000,4:2,Clear or mostly clear,31.4
Jupiler Pro League,5,Sun 21/08/22,6:30 PM,Standard Liège,(13.),OH Leuven,(9.),18.930,1:3,Partly cloudy,23.3
Jupiler Pro League,6,Sun 28/08/22,4:00 PM,KV Kortrijk,(13.),Standard Liège,(15.),7.404,0:1,None,None
Jupiler Pro League,7,Sat 03/09/22,8:45 PM,Standard Liège,(11.),KV Oostende,(13.),18.274,1:0,Drizzle,18.8
Jupiler Pro League,8,Fri 09/09/22,8:45 PM,Sint-Truiden,(10.),Standard Liège,(9.),6.048,1:2,Partly cloudy,15.9
Jupiler Pro League,9,Sun 18/09/22,6:30 PM,Standard Liège,(7.),Club Brugge,(2.),25.893,3:0,Drizzle,12.0
Jupiler Pro League,10,Fri 30/09/22,8:45 PM,Standard Liège,(5.),RFC Seraing,(16.),20.969,0:2,Partly cloudy,12.6
Jupiler Pro League,11,Sun 09/10/22,6:30 PM,R Charleroi SC,(7.),Standard Liège,(6.),11.778,0:1,Clear or mostly clear,15.5
Jupiler Pro League,12,Sun 16/10/22,1:30 PM,Standard Liège,(6.),Royal Antwerp,(1.),21.607,3:0,Partly cloudy,18.3
Jupiler Pro League,13,Wed 19/10/22,8:45 PM,KV Mechelen,(13.),Standard Liège,(5.),10.890,2:0,Partly cloudy,14.0
Jupiler Pro League,14,Sun 23/10/22,6:30 PM,Standard Liège,(5.),RSC Anderlecht,(9.),27.670,5:0,Drizzle,18.2
Jupiler Pro League,15,Sat 29/10/22,4:00 PM,Zulte Waregem,(18.),Standard Liège,(5.),7.634,0:3,Partly cloudy,21.6
Jupiler Pro League,16,Sat 05/11/22,8:45 PM,KAS Eupen,(15.),Standard Liège,(5.),7.101,2:0,None,None
Croky Cup,Sixth Round,Tue 08/11/22,8:30 PM,FCV Dender EH,,Standard Liège,,,0:1,Partly cloudy,14.7
Jupiler Pro League,17,Sun 13/11/22,4:00 PM,Standard Liège,(5.),Union SG,(3.),24.522,2:3,Clear or mostly clear,15.9
Croky Cup,Round of 16,Tue 20/12/22,8:45 PM,Royal Antwerp,,Standard Liège,,13.086,4:0,Drizzle,9.4
Jupiler Pro League,18,Fri 23/12/22,8:30 PM,KAA Gent,(5.),Standard Liège,(6.),12.247,0:0,Partly cloudy,11.4
Jupiler Pro League,19,Fri 06/01/23,8:45 PM,Standard Liège,(6.),Sint-Truiden,(9.),19.405,1:1,Partly cloudy,10.4
Jupiler Pro League,20,Sat 14/01/23,4:00 PM,RFC Seraing,(18.),Standard Liège,(6.),6.500,1:1,None,None
Jupiler Pro League,21,Tue 17/01/23,8:45 PM,Standard Liège,(6.),KV Mechelen,(12.),14.517,2:0,Partly cloudy,-0.4
Jupiler Pro League,22,Sun 22/01/23,1:30 PM,Royal Antwerp,(3.),Standard Liège,(6.),15.000,4:1,Partly cloudy,1.1
Jupiler Pro League,23,Fri 27/01/23,8:45 PM,Standard Liège,(6.),KAS Eupen,(14.),16.623,3:1,Drizzle,3.3
Jupiler Pro League,24,Sat 04/02/23,4:00 PM,Cercle Brugge,(8.),Standard Liège,(6.),4.535,1:1,Partly cloudy,9.6
Jupiler Pro League,25,Sun 12/02/23,6:30 PM,Standard Liège,(6.),KV Kortrijk,(15.),18.134,0:2,Partly cloudy,8.0
Jupiler Pro League,26,Sat 18/02/23,8:45 PM,Union SG,(2.),Standard Liège,(6.),6.957,2:4,Partly cloudy,10.3
Jupiler Pro League,27,Sun 26/02/23,6:30 PM,RSC Anderlecht,(9.),Standard Liège,(6.),21.500,2:2,Clear or mostly clear,3.9
Jupiler Pro League,28,Sat 04/03/23,8:45 PM,Standard Liège,(6.),KVC Westerlo,(7.),19.093,2:0,Partly cloudy,5.3
Jupiler Pro League,29,Sun 12/03/23,1:30 PM,Club Brugge,(4.),Standard Liège,(6.),21.485,2:0,Drizzle,10.5
Jupiler Pro League,30,Sat 18/03/23,8:45 PM,Standard Liège,(6.),Zulte Waregem,(17.),18.073,2:2,Clear or mostly clear,12.5
Jupiler Pro League,31,Sat 01/04/23,8:45 PM,KV Oostende,(16.),Standard Liège,(7.),4.912,1:3,None,None
Jupiler Pro League,32,Sun 09/04/23,6:30 PM,Standard Liège,(6.),Genk,(1.),24.595,2:0,Partly cloudy,14.1
Jupiler Pro League,33,Fri 14/04/23,8:45 PM,Standard Liège,(6.),R Charleroi SC,(8.),25.472,3:1,Clear or mostly clear,9.9
Jupiler Pro League,34,Sun 23/04/23,6:30 PM,OH Leuven,(11.),Standard Liège,(6.),8.353,3:2,Drizzle,13.3
Jupiler Pro League Europe Play-Offs,1,Sat 29/04/23,6:15 PM,Cercle Brugge,(2.),Standard Liège,(4.),3.833,0:0,Clear or mostly clear,12.2
Jupiler Pro League Europe Play-Offs,2,Sat 06/05/23,8:45 PM,Standard Liège,(2.),KAA Gent,(1.),16.764,1:2,Partly cloudy,16.7
Jupiler Pro League Europe Play-Offs,3,Sat 13/05/23,8:45 PM,Standard Liège,(3.),KVC Westerlo,(4.),14.543,2:2,Clear or mostly clear,17.5
Jupiler Pro League Europe Play-Offs,4,Sat 20/05/23,6:15 PM,KVC Westerlo,(4.),Standard Liège,(2.),4.960,3:0,Clear or mostly clear,19.0
Jupiler Pro League Europe Play-Offs,5,Sat 27/05/23,8:45 PM,Standard Liège,(4.),Cercle Brugge,(3.),11.829,0:4,Clear or mostly clear,19.4
Jupiler Pro League Europe Play-Offs,6,Sat 03/06/23,8:30 PM,KAA Gent,(1.),Standard Liège,(4.),12.842,3:1,Clear or mostly clear,20.4
Jupiler Pro League,1,Sun 30/07/23,7:15 PM,Sint-Truiden,(9.),Standard Liège,(10.),7.026,1:0,Drizzle,18.9
Jupiler Pro League,2,Fri 04/08/23,8:45 PM,Standard Liège,(12.),Union SG,(2.),19.923,0:1,Clear or mostly clear,18.2
Jupiler Pro League,3,Sun 13/08/23,6:30 PM,R Charleroi SC,(14.),Standard Liège,(15.),7.000,1:1,Clear or mostly clear,21.4
Jupiler Pro League,4,Sat 19/08/23,4:00 PM,Standard Liège,(12.),Cercle Brugge,(10.),16.860,0:1,Drizzle,23.1
Jupiler Pro League,5,Sat 26/08/23,8:45 PM,KV Kortrijk,(16.),Standard Liège,(14.),5.813,1:1,None,None
Jupiler Pro League,6,Sat 02/09/23,8:45 PM,Standard Liège,(13.),RWDM,(11.),20.500,1:1,Clear or mostly clear,20.8
Jupiler Pro League,7,Sun 17/09/23,1:30 PM,KAS Eupen,(7.),Standard Liège,(14.),6.615,1:3,None,None
Jupiler Pro League,8,Fri 22/09/23,8:45 PM,Standard Liège,(12.),KVC Westerlo,(16.),18.504,0:0,Drizzle,12.3
Jupiler Pro League,9,Sat 30/09/23,6:15 PM,OH Leuven,(12.),Standard Liège,(13.),7.216,1:2,Partly cloudy,18.0
Jupiler Pro League,10,Sun 08/10/23,1:30 PM,Standard Liège,(12.),Club Brugge,(4.),25.853,2:1,Partly cloudy,20.0
Jupiler Pro League,11,Sun 22/10/23,6:30 PM,Standard Liège,(8.),RSC Anderlecht,(2.),26.864,3:2,Partly cloudy,13.0
Jupiler Pro League,12,Sun 29/10/23,6:30 PM,KAA Gent,(3.),Standard Liège,(8.),16.679,3:1,Drizzle,12.7
Croky Cup,Seventh Round,Wed 01/11/23,8:30 PM,Standard Liège,,KRC Harelbeke,,,5:0,Clear or mostly clear,10.8
Jupiler Pro League,13,Sun 05/11/23,4:00 PM,Standard Liège,(8.),KV Mechelen,(14.),19.617,1:1,Drizzle,10.2
Jupiler Pro League,14,Sat 11/11/23,4:00 PM,Royal Antwerp,(6.),Standard Liège,(8.),14.000,6:0,Clear or mostly clear,9.1
Jupiler Pro League,15,Sat 25/11/23,8:45 PM,Standard Liège,(9.),Genk,(4.),21.113,1:0,Partly cloudy,4.6
Jupiler Pro League,16,Sun 03/12/23,6:30 PM,Club Brugge,(7.),Standard Liège,(8.),19.471,2:0,Snowy,0.7
Croky Cup,Round of 16,Thu 07/12/23,8:30 PM,RSC Anderlecht,,Standard Liège,,22.200,2:0,Partly cloudy,4.6
Jupiler Pro League,17,Sun 10/12/23,6:30 PM,RSC Anderlecht,(2.),Standard Liège,(9.),20.000,2:2,Drizzle,9.3
Jupiler Pro League,18,Sat 16/12/23,8:45 PM,Standard Liège,(9.),R Charleroi SC,(12.),20.000,0:0,Partly cloudy,7.7
Jupiler Pro League,19,Wed 20/12/23,8:45 PM,KV Mechelen,(11.),Standard Liège,(9.),13.466,3:0,Drizzle,8.1
Jupiler Pro League,20,Wed 27/12/23,6:30 PM,Standard Liège,(10.),Sint-Truiden,(8.),19.517,1:1,Partly cloudy,9.1
Jupiler Pro League,21,Sat 20/01/24,6:15 PM,Standard Liège,(9.),KV Kortrijk,(16.),18.978,0:1,Partly cloudy,-1.4
Jupiler Pro League,22,Fri 26/01/24,8:45 PM,Cercle Brugge,(7.),Standard Liège,(10.),4.388,1:1,Clear or mostly clear,4.7
Jupiler Pro League,23,Wed 31/01/24,9:00 PM,Standard Liège,(10.),Royal Antwerp,(6.),18.123,0:1,Partly cloudy,5.5
Jupiler Pro League,24,Sat 03/02/24,4:00 PM,RWDM,(15.),Standard Liège,(12.),7.255,2:2,None,None
Jupiler Pro League,25,Sat 10/02/24,4:00 PM,Standard Liège,(11.),OH Leuven,(12.),17.287,1:0,Partly cloudy,13.2
Jupiler Pro League,26,Fri 16/02/24,8:45 PM,KVC Westerlo,(11.),Standard Liège,(10.),7.500,2:1,Partly cloudy,10.1
Jupiler Pro League,27,Sun 25/02/24,6:30 PM,Union SG,(1.),Standard Liège,(11.),6.710,2:1,Partly cloudy,9.7
Jupiler Pro League,28,Sat 02/03/24,8:45 PM,Standard Liège,(11.),KAA Gent,(7.),19.547,4:2,Drizzle,10.6
Jupiler Pro League,29,Sun 10/03/24,1:30 PM,Genk,(6.),Standard Liège,(10.),19.423,1:0,Partly cloudy,12.1
Jupiler Pro League,30,Sat 16/03/24,6:15 PM,Standard Liège,(10.),KAS Eupen,(14.),15.926,4:0,Partly cloudy,9.9
Jupiler Pro League Europe Play-Offs,1,Fri 29/03/24,8:45 PM,KAA Gent,(1.),Standard Liège,(6.),11.334,5:1,Partly cloudy,12.4
Jupiler Pro League Europe Play-Offs,2,Sat 06/04/24,6:15 PM,Standard Liège,(4.),OH Leuven,(6.),,0:0,Partly cloudy,23.4
Jupiler Pro League Europe Play-Offs,3,Fri 12/04/24,8:45 PM,Sint-Truiden,(2.),Standard Liège,(4.),5.956,3:3,Partly cloudy,17.5
Jupiler Pro League Europe Play-Offs,4,Sat 20/04/24,6:15 PM,KVC Westerlo,(6.),Standard Liège,(4.),4.000,3:3,Partly cloudy,7.9
